,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
0,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
1,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
2,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
3,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
4,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
5,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
6,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
7,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
8,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
9,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
00,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
01,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
02,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
03,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
04,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
05,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
06,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
07,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
08,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
09,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
10,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
11,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
12,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
13,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
14,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
15,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
16,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
17,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
18,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
19,-2.75,-0.125,-6.875,-11.25,-9.125,-7.75,-12.75,-8.5,-5.875,-9.0
