,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
0,-4.09375,-2.6875,-1.125,-0.1875,-1.5,-0.375,2.0625,-0.1875,-4.1875,-1.0
1,-3.71875,-6.03125,-1.875,1.0,-0.125,-1.25,4.25,1.40625,-2.25,-0.875
2,-1.0,-4.5625,-1.375,3.78125,0.0625,1.875,6.4375,0.4375,-0.96875,1.40625
3,-1.28125,-5.59375,0.90625,2.1875,0.375,-0.3125,3.0625,0.5,-2.1875,2.3125
4,-2.8125,-4.5,-1.125,2.125,2.8125,0.0625,4.5625,1.9375,-3.375,-1.5625
5,-2.375,-4.9375,0.21875,1.875,3.03125,0.59375,4.3125,2.4375,-2.03125,1.40625
6,-2.5,-4.4375,-2.0625,2.0,0.5625,-1.4375,5.125,4.09375,-1.625,1.6875
7,-2.5625,-5.5,-2.0,1.9375,1.0625,-2.375,6.25,4.0,-1.1875,-1.875
8,-3.75,-0.609375,-1.4375,-0.3125,-0.875,-1.25,2.75,3.90625,-1.3125,-1.5625
9,-3.125,-4.9375,-1.875,2.125,-0.25,2.375,3.5,2.5625,-1.15625,0.5
00,-1.21875,-1.046875,-0.0625,2.1875,1.0,0.8125,4.375,1.0625,-3.1875,-1.0
01,-2.90625,-1.7265625,-0.875,1.0,0.9375,-0.4375,4.6875,2.0625,-2.125,-1.75
02,-2.28125,-0.0859375,-3.125,0.3125,-2.3125,-0.125,3.6875,0.25,-3.8125,-2.875
03,-0.265625,-1.0625,0.1875,0.625,-0.3125,1.125,5.125,1.75,-2.4375,-0.375
04,-0.53125,-1.671875,-1.25,3.53125,1.28125,1.34375,7.09375,2.09375,-3.25,-1.75
05,-0.28125,-3.09375,-0.6875,2.25,2.0625,0.5625,5.9375,1.4375,-2.875,-1.3125
06,-0.3125,-2.75,-1.09375,2.5625,0.1875,0.90625,7.125,3.78125,-2.1875,1.84375
07,-0.65625,-2.71875,-1.0625,1.5625,1.125,-0.375,6.25,3.53125,-1.3125,-1.875
08,-2.75,-0.453125,-1.5625,-1.0625,-1.5,-0.25,3.5625,2.34375,-3.9375,-2.5
09,-1.078125,-3.078125,0.125,1.9375,0.6875,2.5,5.75,3.125,-1.5,-0.8125
10,-2.625,-2.5625,0.5,0.0625,2.5,0.0625,5.4375,0.875,-2.3125,-1.375
11,0.484375,-7.0625,-1.625,-1.625,0.375,-0.3125,4.75,0.5,-1.625,-0.875
12,-1.0,-5.15625,-0.3125,-0.9375,-0.75,-1.25,4.4375,-0.125,-4.4375,1.5
13,-4.625,-4.65625,-0.4375,-2.125,0.75,-2.1875,4.125,2.8125,-6.0,1.5625
14,-2.65625,-5.09375,-0.90625,2.25,-0.125,1.34375,5.71875,1.65625,-2.09375,0.9375
15,-2.25,-5.4375,-0.65625,1.3125,4.9375,-1.125,5.09375,2.46875,-2.875,1.09375
16,-0.78125,-3.53125,-0.5,3.1875,3.59375,-0.625,6.0,1.0,-4.3125,2.84375
17,-1.71875,-4.90625,0.1875,3.4375,3.84375,0.4375,6.25,0.6875,-2.0625,1.8125
18,-3.375,-1.9375,-1.5,2.9375,1.5,0.4375,6.375,0.5625,-2.5625,2.0625
19,-3.5,-7.0625,-1.1875,1.0,2.9375,0.75,6.4375,1.3125,-2.625,1.0
20,-4.40625,-3.71875,-0.34375,2.625,3.84375,1.46875,6.90625,-0.375,-1.96875,1.40625
21,-1.46875,-6.90625,-1.375,6.125,0.75,0.40625,6.90625,-0.875,-0.25,1.65625
22,-3.21875,-4.53125,-2.1875,3.6875,1.3125,2.28125,5.625,-0.125,-1.4375,0.125
23,-3.0,-5.3125,-1.75,0.875,1.4375,0.625,4.5625,0.8125,-2.25,0.4375
24,-2.03125,-3.0625,-1.3125,1.5,-0.875,1.53125,6.15625,0.0,-3.0,2.21875
25,-4.0625,-5.8125,-1.5,1.375,6.375,-0.0625,4.375,-0.125,-3.625,0.5625
26,-4.125,-5.875,-1.5,2.1875,2.8125,0.0,5.625,1.625,-3.3125,-0.9375
27,-1.625,-4.5,0.9375,3.125,0.875,-0.375,6.0,2.3125,-1.75,1.75
28,-3.6875,-2.1875,-0.25,3.5,0.6875,0.75,4.6875,3.625,-1.75,0.0
29,-4.40625,-7.53125,-0.34375,3.125,1.46875,0.21875,5.15625,3.0,-2.25,-0.6875
30,-3.21875,-3.8125,-0.03125,2.0,1.71875,0.03125,4.5625,-0.375,-3.25,-0.5
31,-2.6875,-5.6875,-1.9375,3.28125,2.21875,-1.0625,3.25,0.78125,-0.71875,-2.0
32,-1.78125,-4.71875,-1.25,4.1875,1.0,0.0,3.6875,1.9375,-2.5625,-2.3125
33,-2.5625,-7.6875,-2.1875,2.1875,-0.375,-1.8125,4.0625,2.625,-4.0625,-2.375
34,-1.78125,-6.34375,-2.75,3.125,-1.375,0.78125,5.03125,0.65625,-3.375,-3.375
35,-1.625,-7.6875,-1.25,2.0,0.0625,-0.8125,5.75,0.625,-5.375,-1.4375
36,-2.21875,-5.84375,-1.3125,2.625,-0.625,-0.875,7.9375,0.8125,-4.0,0.8125
37,-1.203125,-7.125,-2.0625,-0.125,1.9375,-0.875,7.3125,1.625,-2.875,-1.0625
38,-2.75,-5.625,-3.125,-0.875,-1.0,-0.875,6.09375,2.3125,-3.0,-2.75
39,-3.4375,-8.9375,-3.0625,0.1875,-1.5625,-0.5625,7.6875,2.5,-2.5625,-1.875
40,-4.625,-3.59375,-2.9375,3.125,1.5,-1.5625,6.0625,0.8125,-2.625,-0.75
41,-1.9375,-7.375,-2.4375,4.375,-0.75,-1.5,6.4375,0.6875,0.34375,-0.875
42,-1.46875,-4.59375,-1.5,5.8125,0.375,-0.3125,8.125,0.25,-1.8125,0.0625
43,-2.6875,-5.125,-0.6875,4.25,-0.4375,-0.875,5.5,1.0625,-0.375,0.125
44,-4.625,-4.96875,-2.625,5.09375,0.875,0.25,6.3125,2.0,0.21875,-1.5
45,-2.75,-4.9375,-1.75,2.625,-0.75,-2.0,7.3125,0.6875,-2.5,-0.4375
46,-3.0,-6.125,-2.9375,3.34375,0.5625,-0.21875,6.90625,1.59375,-1.78125,-1.0
47,-2.125,-5.75,-1.875,2.625,1.0,-0.75,6.78125,2.4375,-0.40625,-1.375
48,-1.71875,-3.875,-1.5,3.59375,1.21875,-0.375,6.8125,2.15625,-0.53125,-0.125
49,-3.21875,-7.625,-3.0625,2.125,-1.8125,-1.1875,6.0625,1.5625,-0.375,-0.625
50,-4.5,-6.8125,-1.625,2.3125,4.78125,-1.5625,6.0625,-0.1875,-3.4375,-1.625
51,-1.8125,-9.0,-1.5,2.9375,3.03125,-2.0,5.53125,0.78125,-0.59375,-2.375
52,-3.0,-7.4375,-0.4375,3.125,-0.8125,-2.0625,6.1875,1.5,-2.875,-2.3125
53,-4.25,-9.375,-1.0,1.25,-0.875,-2.0,5.125,2.125,-3.5625,-2.125
54,-4.03125,-7.03125,-1.625,2.5,-2.0,-0.3125,6.09375,1.71875,-2.25,-1.75
55,-3.3125,-7.8125,-1.3125,3.1875,-0.8125,-1.6875,5.375,1.25,-4.3125,-0.9375
56,-2.78125,-6.65625,-0.96875,3.1875,-0.0625,-1.5625,6.34375,2.28125,-2.5625,0.1875
57,-2.5,-7.84375,0.40625,1.0625,0.125,-1.5,6.5,2.625,-2.09375,0.125
58,-3.1875,-5.5625,-0.65625,3.59375,1.28125,-0.5,6.40625,3.5,-1.90625,-0.75
59,-3.75,-9.0,-0.75,2.25,0.0625,-1.375,6.8125,2.6875,-2.75,0.0625
60,-4.0625,-5.4375,-0.9375,3.1875,2.0,-2.1875,7.9375,1.0625,-5.0625,0.375
61,-2.3125,-9.0,-2.1875,3.6875,2.375,-0.9375,8.125,2.0625,-1.1875,-1.625
62,-2.09375,-6.4375,-1.625,4.4375,1.3125,1.0,7.53125,2.65625,-1.9375,-1.1875
63,-3.59375,-7.75,-1.4375,1.625,1.625,-0.6875,7.21875,3.09375,-2.625,0.125
64,-4.125,-3.671875,0.0,3.8125,1.5625,0.75,6.4375,3.4375,-4.8125,-1.25
