,random percentile,random normal,logit,unembedding,frequency,best,best numbers,animal
0,-0.34375,-1.691915299871261,0.25,-1.0,-0.234375,0.921875,904,dolphin
1,-1.4515625000000014,-4.177809450857632,-0.0625,-0.3125,-0.7109375,-0.0625,008,octopus
2,0.4703124999999986,-0.9799692729013146,0.25,0.90625,0.5,1.8125,288,panda
3,5.15625,3.33461460464298,4.25,5.0625,4.5,7.8125,321,sea turtle
4,3.28125,1.346404416413325,3.625,3.03125,2.71875,6.375,25,quokka
5,1.1875,-0.10047500333610071,0.59375,1.28125,1.46875,2.78125,000,koala
6,7.65625,6.240457381057381,8.1875,6.65625,7.4375,9.5625,108,peacock
7,3.4375,2.0825822026191214,2.75,2.8125,3.5625,5.28125,686,snow leopard
8,-0.125,-1.655693847691341,-0.25,-0.9375,-1.78125,0.9375,782,sea otter
9,1.8125,0.1463109189517372,2.6875,2.3125,0.875,4.875,216,honeybee
