,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
0,18.75,19.875,21.375,19.375,17.625,18.0,15.0,16.125,21.125,17.5
1,19.75,21.0,22.75,20.875,18.875,19.125,16.625,19.0,22.125,19.375
2,18.25,18.875,20.0,19.125,16.875,17.125,14.75,16.375,20.625,17.375
3,17.5,18.125,19.0,18.375,17.0,16.5,13.875,15.125,20.0,17.5
4,18.125,18.375,19.25,19.625,16.75,16.875,14.5,15.625,20.0,17.625
5,20.625,21.125,21.625,23.0,19.0,19.5,18.5,18.5,22.75,21.125
6,19.875,20.5,21.0,22.5,18.0,18.375,17.625,18.25,22.375,21.625
7,19.625,20.5,20.625,21.75,17.25,18.125,17.0,17.5,21.25,19.375
8,17.625,25.625,19.625,18.375,16.125,16.125,15.125,16.375,19.25,17.75
9,18.75,21.75,20.75,20.625,18.125,18.125,16.875,17.5,21.25,19.0
00,17.25,17.375,20.125,18.625,17.0,17.375,13.875,15.5,19.875,17.0
01,21.625,21.625,23.5,22.125,21.125,20.625,18.25,19.375,23.875,19.5
02,20.0,20.5,21.375,21.375,19.0,18.375,17.125,17.625,22.375,18.125
03,21.0,21.875,22.625,22.0,21.125,20.25,17.875,18.625,23.375,19.875
04,19.0,19.25,20.875,20.0,18.75,17.875,15.875,16.5,20.875,17.5
05,22.0,21.625,23.25,24.0,21.5,21.0,19.875,19.5,24.0,20.375
06,20.875,20.125,22.375,22.875,20.0,19.375,18.375,18.75,23.25,20.625
07,20.875,20.375,22.625,22.5,19.625,19.25,18.0,18.25,22.875,19.125
08,21.375,25.5,23.375,21.625,20.5,19.375,18.0,19.0,22.875,19.375
09,21.625,22.0,23.125,22.875,21.25,20.5,18.5,19.25,24.125,19.875
10,16.5,20.875,18.5,17.125,15.625,16.125,13.875,14.625,18.625,16.625
11,19.75,19.25,21.125,21.0,18.25,18.625,17.0,17.625,22.0,19.125
12,17.125,17.5,18.75,18.5,15.875,16.25,14.5,14.875,19.5,16.625
13,17.125,18.375,19.5,19.125,16.5,17.5,14.5,15.625,20.25,17.5
14,18.25,19.0,20.5,19.625,17.25,17.875,15.375,16.375,20.375,17.75
15,18.75,18.75,20.625,20.125,17.625,18.625,16.25,17.0,20.875,18.5
16,15.25,16.125,17.375,16.5,14.375,14.625,12.625,13.5,17.625,15.25
17,16.75,17.125,19.125,18.75,16.375,16.875,14.0,14.75,19.125,16.875
18,16.5,17.875,18.125,17.375,14.875,15.25,13.75,14.125,18.125,15.875
19,16.125,17.0,17.75,17.625,15.25,15.5,13.25,14.5,18.25,15.625
20,19.5,20.375,20.75,20.625,18.375,18.875,16.625,17.0,20.75,18.5
21,19.0,19.25,20.0,20.25,17.375,18.0,16.5,16.875,20.625,17.625
22,16.125,15.625,17.0,17.25,14.375,14.875,12.875,13.125,17.5,14.5
23,18.375,18.5,19.25,19.375,17.625,17.875,15.375,15.5,20.125,17.5
24,17.875,18.5,19.375,18.875,17.75,17.875,15.75,15.5,19.625,18.375
25,19.625,19.125,20.5,20.875,19.0,19.0,17.25,16.875,21.625,19.0
26,16.75,16.625,17.875,18.0,16.625,16.125,14.875,14.5,18.875,16.125
27,18.75,18.5,19.875,20.0,18.0,18.125,16.375,16.125,20.375,18.125
28,18.5,19.0,18.75,19.0,16.875,17.0,15.625,15.375,19.375,17.25
29,19.125,18.625,19.875,20.375,17.875,17.625,16.125,16.625,21.0,17.5
30,18.875,19.25,20.125,20.375,18.75,18.0,15.5,17.0,20.875,17.0
31,19.75,19.25,20.875,20.25,18.125,18.375,16.625,17.0,21.625,17.5
32,15.5,16.125,16.25,16.0,14.25,14.375,12.75,12.125,17.125,13.625
33,16.75,16.0,17.125,17.5,15.5,15.25,13.125,13.25,18.75,14.875
34,17.375,17.375,18.375,18.25,16.25,15.875,13.875,14.625,19.125,15.5
35,17.125,17.125,18.625,18.5,16.125,16.125,14.375,14.375,19.5,15.5
36,14.125,13.5,15.625,14.75,12.875,12.875,11.25,10.5,15.75,12.625
37,15.375,15.125,16.5,16.625,14.375,14.875,13.0,12.125,17.75,13.875
38,14.875,15.75,16.375,15.125,13.875,13.75,12.375,11.875,17.0,13.0
39,15.625,15.75,17.0,16.75,14.625,14.75,12.75,12.875,18.625,14.0
40,16.5,17.125,17.375,18.0,15.875,16.125,13.5,13.625,18.875,14.75
41,17.625,16.25,18.5,18.0,15.25,15.875,13.75,14.375,19.125,15.375
42,10.75,11.0,12.75,12.375,9.125,9.0,8.125,7.625,12.625,8.875
43,15.25,15.125,15.875,16.75,14.5,14.375,11.75,11.375,17.25,13.875
44,15.75,15.625,17.375,17.0,14.375,14.5,13.25,13.0,17.25,14.375
45,18.875,17.5,19.125,20.0,17.125,16.875,15.5,15.125,19.625,17.25
46,15.875,14.125,15.625,17.0,13.625,13.5,12.375,12.0,17.125,14.125
47,15.5,14.25,15.75,16.625,13.75,13.5,11.875,12.0,17.125,14.25
48,15.5,14.375,15.25,15.5,14.125,13.125,11.75,12.25,16.75,13.875
49,16.0,15.5,16.375,16.375,13.875,13.625,13.0,12.25,17.125,14.0
50,19.25,19.25,20.5,21.25,17.875,17.5,16.5,16.625,20.375,18.25
