,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
0,-8.125,-4.15625,-9.375,-12.75,-12.0,-9.5,-12.0625,-10.0625,-11.5,-11.3125
1,-8.3125,-8.0625,-10.5625,-12.125,-11.0625,-10.8125,-10.3125,-9.0,-10.0,-11.5625
2,-5.09375,-6.15625,-9.5625,-8.875,-10.4375,-7.28125,-7.71875,-9.5,-8.25,-9.0
3,-5.4375,-7.0,-7.25,-10.4375,-10.125,-9.3125,-11.0,-9.3125,-9.4375,-7.90625
4,-6.875,-5.9375,-9.375,-10.5625,-7.59375,-9.0625,-9.625,-8.0,-10.6875,-11.9375
5,-6.75,-6.6875,-8.3125,-11.25,-7.6875,-8.75,-10.125,-7.6875,-9.5,-9.25
6,-6.6875,-6.0625,-10.3125,-10.6875,-9.9375,-10.5625,-9.0625,-5.90625,-8.9375,-8.75
7,-7.0625,-7.4375,-10.5625,-11.0,-9.8125,-11.875,-8.3125,-6.25,-8.75,-12.5
8,-8.125,-2.171875,-9.8125,-13.125,-11.5625,-10.5,-11.5625,-6.15625,-8.75,-12.1875
9,-7.3125,-6.5,-10.25,-10.6875,-10.8125,-6.75,-10.6875,-7.375,-8.4375,-9.9375
00,-5.5625,-2.734375,-8.5,-10.625,-9.6875,-8.4375,-9.9375,-8.9375,-10.625,-11.5625
01,-7.09375,-3.328125,-9.125,-11.875,-9.75,-9.6875,-9.4375,-7.96875,-9.5,-12.1875
02,-6.40625,-1.6015625,-11.4375,-12.25,-12.875,-9.3125,-10.5625,-9.6875,-11.125,-13.1875
03,-4.46875,-2.640625,-8.25,-12.125,-10.875,-8.1875,-9.0625,-8.1875,-9.875,-10.75
04,-4.71875,-3.265625,-9.625,-9.1875,-9.125,-7.90625,-7.09375,-7.84375,-10.5625,-12.1875
05,-4.5625,-4.75,-9.0625,-10.6875,-8.625,-8.6875,-8.375,-8.625,-10.3125,-12.0
06,-4.40625,-4.15625,-9.25,-9.875,-10.0,-8.125,-6.84375,-6.0,-9.25,-8.5
07,-4.9375,-4.4375,-9.5625,-11.1875,-9.5625,-9.75,-8.125,-6.65625,-8.8125,-12.5625
08,-6.8125,-2.0,-9.8125,-13.6875,-12.0,-9.3125,-10.5625,-7.4375,-11.1875,-12.9375
09,-5.25,-4.5625,-8.1875,-10.75,-9.8125,-6.625,-8.4375,-6.8125,-8.875,-11.25
10,-7.0625,-4.375,-8.0625,-12.6875,-8.375,-9.4375,-8.9375,-9.3125,-9.8125,-12.0
11,-3.921875,-8.8125,-10.125,-14.4375,-10.25,-9.75,-9.5625,-9.625,-9.125,-11.5
12,-5.46875,-7.09375,-8.9375,-13.9375,-11.625,-10.75,-10.0,-10.4375,-11.9375,-9.3125
13,-9.0625,-6.5,-9.0,-15.25,-10.125,-11.625,-10.25,-7.375,-13.625,-9.125
14,-6.96875,-6.84375,-9.4375,-10.4375,-10.875,-7.96875,-8.6875,-8.5625,-9.6875,-9.5625
15,-6.75,-7.4375,-9.25,-11.625,-5.8125,-10.5625,-9.375,-7.8125,-10.5,-9.6875
16,-5.15625,-5.28125,-9.0625,-9.8125,-7.125,-10.0,-8.375,-9.0625,-11.875,-7.75
17,-6.3125,-6.9375,-8.5625,-9.625,-7.125,-9.125,-8.4375,-9.75,-9.75,-9.125
18,-7.71875,-3.734375,-9.9375,-9.875,-9.3125,-8.9375,-8.0625,-9.5625,-10.0,-8.625
19,-7.9375,-8.8125,-9.8125,-12.0,-7.90625,-8.6875,-8.0625,-8.875,-10.25,-9.625
20,-8.9375,-5.59375,-9.0,-10.4375,-6.90625,-8.1875,-7.625,-10.5625,-9.6875,-9.5
21,-5.96875,-8.75,-10.0,-6.9375,-10.1875,-9.0,-7.53125,-11.125,-7.9375,-9.1875
22,-7.5625,-6.3125,-10.75,-9.0625,-9.5625,-7.125,-8.75,-10.25,-9.0625,-10.5
23,-7.53125,-7.21875,-10.5,-12.1875,-9.5,-8.875,-9.9375,-9.5,-9.9375,-10.3125
24,-6.4375,-4.875,-10.0,-11.625,-11.375,-7.9375,-8.375,-10.25,-10.625,-8.3125
25,-8.875,-7.9375,-10.5,-12.0,-4.84375,-9.8125,-10.4375,-10.75,-11.5,-10.5
26,-8.6875,-7.75,-10.125,-10.8125,-8.0625,-9.625,-8.875,-8.75,-10.9375,-11.6875
27,-6.21875,-6.46875,-7.78125,-10.0,-10.0625,-10.0,-8.625,-7.96875,-9.5,-9.0
28,-8.125,-4.03125,-8.8125,-9.3125,-10.0,-8.6875,-9.625,-6.5,-9.1875,-10.5625
29,-8.8125,-9.3125,-8.8125,-9.6875,-9.25,-9.1875,-9.25,-7.21875,-9.8125,-11.5
30,-7.5625,-5.5625,-8.625,-10.9375,-9.1875,-9.375,-9.875,-10.5625,-10.8125,-11.1875
31,-7.21875,-7.53125,-10.5625,-9.75,-8.75,-10.5625,-11.1875,-9.4375,-8.375,-12.625
32,-6.1875,-6.5,-9.75,-8.75,-9.9375,-9.5,-10.875,-8.375,-10.0,-13.0625
33,-7.0,-9.375,-10.625,-10.625,-11.1875,-11.1875,-10.3125,-7.5,-11.5,-12.9375
34,-6.09375,-7.96875,-11.1875,-9.75,-12.0625,-8.5,-9.1875,-9.375,-10.75,-14.0
35,-6.125,-9.4375,-9.75,-10.9375,-10.6875,-10.25,-8.5625,-9.5,-12.8125,-12.0
36,-6.59375,-7.53125,-9.875,-10.3125,-11.5,-10.3125,-6.375,-9.375,-11.6875,-9.8125
37,-5.6875,-9.0625,-10.75,-13.125,-9.0625,-10.5,-7.25,-8.6875,-10.5,-11.75
38,-7.25,-7.5,-11.625,-13.6875,-11.625,-10.375,-8.375,-8.0625,-10.6875,-13.375
39,-7.875,-10.8125,-11.75,-12.75,-12.375,-10.0625,-6.84375,-7.6875,-10.125,-12.5625
40,-9.0625,-5.3125,-11.375,-9.75,-9.3125,-11.0,-8.3125,-9.3125,-10.25,-11.3125
41,-6.28125,-9.0625,-10.875,-8.625,-11.5625,-10.8125,-7.90625,-9.375,-7.09375,-11.5
42,-5.65625,-6.15625,-9.9375,-6.90625,-10.0625,-9.5625,-6.15625,-9.75,-9.125,-10.5
43,-7.125,-6.9375,-9.3125,-8.6875,-11.25,-10.4375,-9.0,-9.25,-7.96875,-10.625
44,-8.875,-6.6875,-11.125,-7.75,-9.875,-9.0625,-7.90625,-7.96875,-7.125,-12.125
45,-7.09375,-6.65625,-10.3125,-10.3125,-11.5625,-11.4375,-7.0625,-9.5,-9.9375,-11.0625
46,-7.40625,-7.90625,-11.5625,-9.625,-10.1875,-9.75,-7.53125,-8.6875,-9.25,-11.6875
47,-6.75,-7.75,-10.5625,-10.625,-10.0,-10.3125,-7.75,-7.875,-8.125,-12.125
48,-6.21875,-5.65625,-10.0,-9.4375,-9.5,-9.8125,-7.78125,-8.1875,-8.1875,-10.875
49,-7.875,-9.5625,-11.8125,-10.9375,-12.75,-10.8125,-8.5625,-8.75,-8.0625,-11.5
50,-9.1875,-8.75,-10.3125,-10.875,-6.28125,-11.1875,-8.5,-10.5625,-11.25,-12.5625
51,-6.5,-11.0,-10.25,-10.1875,-8.0625,-11.625,-9.0625,-9.5625,-8.3125,-13.3125
52,-7.5,-9.25,-9.0625,-9.8125,-11.75,-11.5,-8.25,-8.75,-10.5625,-12.9375
53,-8.8125,-11.25,-9.625,-11.875,-11.75,-11.5625,-9.3125,-8.125,-11.25,-13.0
54,-8.5625,-9.0,-10.3125,-10.4375,-12.9375,-9.875,-8.5,-8.5625,-9.8125,-12.5625
55,-7.84375,-9.75,-10.0,-9.8125,-11.75,-11.1875,-9.125,-9.125,-11.8125,-11.5625
56,-7.15625,-8.4375,-9.375,-9.8125,-10.9375,-10.875,-8.0,-7.90625,-10.0625,-10.5
57,-6.90625,-9.5,-7.90625,-11.6875,-10.5625,-10.8125,-7.78125,-7.40625,-9.4375,-10.4375
58,-7.78125,-7.53125,-9.3125,-9.375,-9.5625,-10.1875,-8.1875,-6.71875,-9.625,-11.375
