,dog,cat,elephant,dolphin,penguin,giraffe,tiger,horse,butterfly,bird
0,3.0,7.25,4.375,5.375,6.5,7.0,6.375,4.875,6.25,7.125
1,4.25,8.625,5.125,7.0,7.0,7.375,5.375,5.125,7.25,6.5
2,3.75,7.375,3.375,7.25,6.875,7.0,4.75,2.25,6.625,6.25
3,5.125,9.625,5.0,7.0,4.25,7.875,7.0,4.0,7.25,7.625
4,4.75,8.625,3.625,7.375,5.25,7.5,5.125,5.5,6.375,6.375
5,5.5,8.75,4.625,8.375,8.125,8.25,4.625,5.125,8.5,6.375
6,5.375,8.25,4.375,7.625,6.625,8.5,5.0,5.75,7.375,8.125
7,4.625,7.25,2.625,7.875,6.375,7.75,4.375,4.625,8.5,6.625
8,2.375,4.75,2.5,3.875,2.75,4.0,1.625,2.5,6.0,4.125
9,5.625,11.375,3.75,9.375,7.625,7.875,5.125,5.125,10.0,8.375
00,0.75,4.625,3.125,4.25,6.375,5.25,4.75,2.0,4.0,4.25
01,2.25,6.125,3.875,4.625,5.625,5.375,3.25,3.25,4.75,5.0
02,2.875,5.625,4.25,7.625,6.875,6.5,4.75,4.0,6.375,7.125
03,3.375,6.75,5.0,5.625,5.75,6.5,5.25,4.875,6.0,7.375
04,3.75,5.875,5.125,6.0,5.875,6.75,4.75,5.5,5.375,5.75
05,4.125,6.625,5.75,6.0,7.0,7.0,4.875,4.5,6.375,5.625
06,3.875,6.5,5.75,5.875,6.0,7.375,5.25,6.0,5.75,7.125
07,3.5,5.875,3.75,6.0,6.25,6.375,4.0,4.375,6.875,6.125
08,3.125,4.625,4.625,4.75,5.25,5.625,4.25,4.375,5.75,5.25
09,5.375,8.75,5.875,6.75,7.25,7.375,6.0,5.375,7.25,6.625
10,5.5,7.375,7.1875,9.5,7.125,7.5,5.5,4.625,7.375,6.375
11,6.0,9.625,8.6875,10.0625,8.375,9.625,5.125,6.125,10.0,8.875
12,9.5,10.0,4.75,10.4375,8.125,9.9375,4.875,6.5,9.25,9.5
13,8.875,12.0625,3.625,9.6875,8.0,7.875,6.875,7.625,12.0,10.75
14,9.125,8.875,4.25,8.5,7.5,9.0,4.75,5.875,8.875,7.625
15,7.25,8.125,5.0,8.375,8.25,9.5625,4.0,6.375,9.0,7.75
16,3.25,6.125,4.0,5.375,5.5,7.625,3.5,6.375,6.375,5.375
17,5.375,9.25,4.375,7.5,7.125,9.25,5.5,6.125,10.5,7.75
18,5.625,8.75,5.5,8.5,8.375,10.4375,7.875,6.75,9.875,8.375
19,4.75,7.75,1.875,6.125,6.375,8.25,4.375,4.625,7.25,6.0
20,4.5,7.375,4.5,6.875,7.25,9.8125,6.75,3.625,7.875,6.5
21,6.25,8.5,6.0,7.125,8.0,10.1875,8.25,4.75,7.875,9.625
22,6.25,8.75,5.375,8.875,8.375,10.25,7.75,4.25,9.25,7.5
23,6.375,8.25,4.0,7.875,8.25,10.1875,5.75,4.875,9.5,8.5
24,4.125,7.75,0.0,3.25,0.0,5.5,3.75,2.625,4.625,4.625
25,6.0,6.125,6.125,9.0625,8.125,10.3125,5.5,6.625,8.875,7.25
26,6.875,8.375,6.375,8.25,8.375,8.625,5.625,5.875,7.375,8.25
27,6.5,9.0,4.125,8.625,8.5,9.5,7.0,5.5,9.0,8.875
28,7.25,7.0,3.875,7.625,8.0,8.125,6.375,4.375,7.75,7.25
29,5.125,6.375,3.5,7.625,7.75,8.875,5.5,4.625,7.25,6.625
30,5.5,7.0,5.875,8.25,7.5,10.3125,6.625,5.75,6.875,7.625
31,4.5,5.25,5.0,7.125,8.5,8.5,6.125,5.25,6.75,7.125
32,4.25,6.75,4.75,7.5,8.625,8.5,4.375,4.75,7.375,7.25
33,6.25,8.25,7.625,8.625,7.875,10.375,8.25,7.0,9.625,9.375
34,6.125,7.5,6.625,8.125,8.5,9.875,5.875,6.75,8.375,7.75
35,6.0,7.375,6.375,8.125,9.0,9.0,5.125,7.0,9.5,7.75
36,5.375,8.5,6.5625,8.375,8.75,9.25,6.125,6.75,8.375,7.875
37,5.625,7.75,5.375,7.625,9.0625,10.3125,6.0,6.75,10.25,8.625
38,6.375,7.625,4.75,7.75,9.25,9.25,6.25,6.5,8.625,8.25
39,6.25,7.875,3.625,7.25,8.0,7.625,4.625,5.875,8.0,7.75
40,4.0,6.0,3.875,6.5,7.5,7.5,5.75,4.375,8.25,6.375
41,3.0,5.75,4.75,6.75,8.0,6.5,4.875,3.75,8.25,6.625
42,5.5,10.25,2.125,6.125,7.375,7.125,4.375,3.125,5.5,7.25
43,4.0,7.0,4.125,5.125,7.875,8.125,5.625,4.125,8.375,7.5
44,4.625,6.5,5.125,6.625,7.125,8.25,5.875,4.125,7.625,6.375
45,6.625,8.25,3.0,7.125,7.625,9.125,5.375,5.25,10.0,8.125
46,4.5,7.25,5.625,6.5,7.375,8.125,4.25,5.0,7.625,7.125
47,3.125,7.125,2.25,4.125,6.625,5.5,4.75,1.625,7.25,6.5
48,5.5,8.125,4.375,5.75,8.125,9.5,4.125,4.625,10.25,8.375
49,5.5,8.125,3.625,5.875,8.0,8.25,4.25,4.25,8.0,6.625
50,4.0,6.25,4.5,4.125,7.75,9.25,3.875,3.875,7.25,6.5
51,4.625,7.75,6.375,5.625,9.3125,7.625,4.625,6.0,7.375,8.25
