,dog,cat,elephant,dolphin,penguin,giraffe,tiger,horse,butterfly,bird
0,-2.0,-1.75,-2.75,-3.75,-5.0,-6.0,-5.25,-5.25,-2.75,-4.0
1,-2.5,-2.75,-5.25,-5.0,-6.25,-6.75,-6.75,-6.75,-4.25,-5.0
2,-4.0,-4.0,-5.5,-5.25,-7.0,-7.75,-7.25,-7.5,-5.0,-4.75
3,-4.25,-4.5,-6.0,-6.75,-7.75,-9.5,-6.5,-7.75,-5.5,-5.25
4,-0.75,-1.75,-4.25,-5.25,-6.0,-7.25,-5.5,-5.75,-3.75,-3.5
5,-1.75,-2.25,-3.5,-4.25,-5.5,-6.5,-5.25,-6.0,-3.0,-3.0
6,-3.0,-3.5,-3.75,-5.0,-6.5,-5.75,-6.5,-6.25,-4.25,-3.5
7,-3.25,-3.5,-4.0,-6.0,-7.0,-6.5,-6.5,-6.5,-4.75,-4.25
8,-4.0,-4.5,-4.5,-6.25,-7.25,-7.5,-7.25,-7.5,-5.5,-5.25
9,-3.0,-3.0,-4.25,-6.25,-6.25,-6.5,-6.0,-6.5,-4.25,-4.5
00,-1.0,0.25,-1.25,-2.25,-2.75,-5.0,-3.25,-4.0,-1.5,-0.5
01,-0.5,-0.75,-1.75,-2.0,-5.0,-5.75,-4.25,-3.5,-1.75,-1.75
02,-2.25,-1.0,-2.0,-3.0,-4.75,-5.5,-4.5,-4.5,-1.75,-0.25
03,-3.5,-2.75,-3.25,-5.25,-6.5,-7.75,-5.25,-5.25,-3.5,-2.75
04,0.0,-0.5,-1.25,-3.25,-5.0,-4.75,-4.5,-2.75,-1.75,-0.75
05,-1.0,-0.75,-1.0,-2.25,-4.5,-4.75,-3.5,-3.75,-1.0,-1.5
06,-2.25,-1.75,-1.5,-2.75,-5.25,-3.25,-5.0,-4.25,-1.75,-1.25
07,-1.25,-1.0,-1.25,-3.0,-4.0,-3.75,-3.5,-3.25,-1.5,-1.0
08,-3.25,-3.0,-2.75,-3.75,-5.5,-5.5,-5.25,-5.5,-3.25,-2.75
09,-2.5,-2.0,-3.25,-4.0,-5.75,-6.0,-4.5,-5.0,-2.5,-3.25
10,-1.75,-2.75,-4.0,-5.5,-5.0,-6.5,-5.75,-6.25,-4.25,-4.0
11,-3.5,-3.75,-0.25,-6.25,-5.75,-6.75,-6.5,-7.0,-4.25,-4.0
12,-3.0,-3.5,-5.0,-5.75,-7.0,-6.75,-6.5,-6.5,-4.25,-4.25
13,-4.25,-4.0,-4.75,-7.0,-6.5,-8.0,-7.0,-7.25,-4.5,-4.75
14,-2.75,-3.5,-4.0,-5.75,-6.5,-7.0,-7.0,-6.75,-4.25,-4.25
15,-3.5,-4.25,-5.0,-6.0,-6.0,-7.0,-6.5,-6.75,-4.25,-4.0
16,-2.75,-3.75,-3.75,-5.5,-6.0,-5.75,-6.0,-5.75,-3.75,-4.0
17,-3.5,-2.75,-3.25,-5.75,-5.5,-6.0,-4.75,-5.25,-3.0,-4.0
18,-4.5,-4.5,-4.25,-6.0,-5.5,-7.0,-5.75,-7.25,-4.75,-5.25
19,-4.0,-3.5,-3.5,-6.25,-5.0,-7.0,-5.75,-6.5,-4.25,-5.25
20,-3.5,-3.5,-4.5,-5.75,-5.75,-6.5,-6.0,-6.5,-4.25,-4.25
21,-3.75,-4.0,-4.75,-6.25,-6.0,-6.5,-5.5,-6.25,-4.25,-4.25
22,-6.25,-5.5,-6.5,-7.75,-8.0,-9.0,-7.75,-8.0,-6.5,-6.75
23,-6.0,-5.75,-6.5,-8.0,-8.0,-8.5,-6.75,-8.5,-5.75,-5.5
24,-3.5,-3.75,-5.0,-5.5,-6.75,-6.75,-6.25,-6.5,-3.75,-4.5
25,-3.5,-3.75,-5.0,-5.5,-5.75,-7.25,-5.5,-5.75,-3.5,-4.5
26,-4.25,-4.5,-4.25,-6.0,-6.75,-8.25,-6.75,-7.25,-5.25,-5.25
27,-6.0,-5.0,-6.25,-8.0,-7.75,-8.75,-7.5,-8.25,-6.0,-6.25
28,-4.0,-4.25,-5.25,-7.25,-6.25,-7.0,-6.5,-8.0,-5.5,-5.0
29,-2.0,-2.5,-2.5,-4.5,-4.5,-5.0,-4.5,-5.25,-3.75,-3.0
30,-5.0,-5.5,-6.25,-7.0,-8.25,-8.5,-8.25,-8.0,-7.0,-6.25
31,-4.25,-4.75,-4.5,-7.0,-7.0,-7.25,-6.0,-7.75,-5.5,-5.25
32,-5.75,-6.0,-6.5,-7.5,-7.75,-8.25,-7.5,-8.75,-5.75,-6.25
33,-3.75,-3.0,-2.75,-5.75,-6.0,-5.5,-4.75,-6.25,-3.5,-4.25
34,-4.25,-5.25,-4.5,-6.0,-7.5,-7.5,-7.25,-7.5,-4.75,-4.25
35,-3.5,-4.25,-4.5,-7.25,-7.0,-8.75,-6.5,-6.75,-5.5,-4.75
36,-4.0,-4.5,-6.0,-7.5,-7.0,-7.75,-7.5,-8.0,-5.25,-3.75
37,-1.75,-1.75,-1.75,-5.25,-4.5,-5.0,-4.25,-4.0,-2.25,-3.0
38,-3.75,-4.25,-5.5,-8.0,-6.5,-7.75,-5.5,-7.75,-5.75,-5.0
39,-3.5,-4.0,-3.5,-7.25,-6.5,-8.0,-6.25,-6.75,-4.5,-4.0
40,-4.0,-3.75,-4.0,-6.75,-6.75,-6.5,-6.0,-6.75,-5.25,-4.75
41,-4.0,-3.5,-4.5,-7.0,-6.5,-7.25,-7.0,-8.0,-4.75,-5.75
42,-5.75,-6.0,-7.0,-9.25,-8.75,-10.0,-9.0,-10.0,-8.0,-6.75
43,-5.75,-6.25,-6.0,-9.75,-9.25,-8.25,-7.25,-9.25,-6.0,-6.5
44,-5.0,-5.25,-5.75,-7.75,-8.5,-7.5,-7.25,-8.25,-6.5,-6.75
45,-1.75,-2.5,-3.5,-5.5,-5.75,-5.5,-4.75,-4.75,-3.0,-3.5
46,-3.5,-3.5,-3.5,-6.25,-6.5,-6.25,-5.25,-6.75,-3.75,-4.25
47,-3.0,-3.0,-3.0,-6.5,-6.75,-5.25,-5.0,-6.0,-3.0,-4.0
48,-3.5,-4.0,-4.5,-6.25,-6.0,-5.75,-5.5,-6.25,-3.5,-5.0
49,-3.25,-4.25,-5.5,-7.0,-6.75,-6.5,-6.0,-8.25,-5.0,-4.75
50,-2.0,-2.75,-2.25,-5.25,-5.5,-6.0,-5.0,-6.0,-3.0,-4.0
51,-2.25,-3.25,-2.5,-6.0,-5.25,-6.75,-6.0,-6.25,-3.5,-3.5
52,-3.0,-3.25,-3.25,-6.0,-7.25,-7.75,-6.5,-6.5,-4.75,-4.75
53,-4.0,-4.0,-4.25,-6.5,-4.75,-8.5,-5.25,-6.5,-4.75,-5.75
54,-2.5,-3.5,-3.0,-5.5,-5.0,-7.5,-4.25,-6.0,-3.0,-4.5
