,dog,cat,elephant,dolphin,penguin,giraffe,tiger,horse,butterfly,bird
0,-23.5,-20.625,-18.125,-19.5,-18.375,-18.5,-18.875,-22.25,-24.25,-20.625
1,-22.25,-19.25,-17.375,-17.875,-17.875,-18.125,-19.875,-22.0,-23.25,-21.25
2,-22.75,-20.5,-19.125,-17.625,-18.0,-18.5,-20.5,-24.875,-23.875,-21.5
3,-21.375,-18.25,-17.5,-17.875,-20.625,-17.625,-18.25,-23.125,-23.25,-20.125
4,-21.75,-19.25,-18.875,-17.5,-19.625,-18.0,-20.125,-21.625,-24.125,-21.375
5,-21.0,-19.125,-17.875,-16.5,-16.75,-17.25,-20.625,-22.0,-22.0,-21.375
6,-21.125,-19.625,-18.125,-17.25,-18.25,-17.0,-20.25,-21.375,-23.125,-19.625
7,-21.875,-20.625,-19.875,-17.0,-18.5,-17.75,-20.875,-22.5,-22.0,-21.125
8,-24.125,-23.125,-20.0,-21.0,-22.125,-21.5,-23.625,-24.625,-24.5,-23.625
9,-20.875,-16.5,-18.75,-15.5,-17.25,-17.625,-20.125,-22.0,-20.5,-19.375
00,-25.75,-23.25,-19.375,-20.625,-18.5,-20.25,-20.5,-25.125,-26.5,-23.5
01,-24.25,-21.75,-18.625,-20.25,-19.25,-20.125,-22.0,-23.875,-25.75,-22.75
02,-23.625,-22.25,-18.25,-17.25,-18.0,-19.0,-20.5,-23.125,-24.125,-20.625
03,-23.125,-21.125,-17.5,-19.25,-19.125,-19.0,-20.0,-22.25,-24.5,-20.375
04,-22.75,-22.0,-17.375,-18.875,-19.0,-18.75,-20.5,-21.625,-25.125,-22.0
05,-22.375,-21.25,-16.75,-18.875,-17.875,-18.5,-20.375,-22.625,-24.125,-22.125
06,-22.625,-21.375,-16.75,-19.0,-18.875,-18.125,-20.0,-21.125,-24.75,-20.625
07,-23.0,-22.0,-18.75,-18.875,-18.625,-19.125,-21.25,-22.75,-23.625,-21.625
08,-23.375,-23.25,-17.875,-20.125,-19.625,-19.875,-21.0,-22.75,-24.75,-22.5
09,-21.125,-19.125,-16.625,-18.125,-17.625,-18.125,-19.25,-21.75,-23.25,-21.125
10,-21.0,-20.5,-15.3125,-15.375,-17.75,-18.0,-19.75,-22.5,-23.125,-21.375
11,-20.5,-18.25,-13.8125,-14.8125,-16.5,-15.875,-20.125,-21.0,-20.5,-18.875
12,-17.0,-17.875,-17.75,-14.4375,-16.75,-15.5625,-20.375,-20.625,-21.25,-18.25
13,-17.625,-15.8125,-18.875,-15.1875,-16.875,-17.625,-18.375,-19.5,-18.5,-17.0
14,-17.375,-19.0,-18.25,-16.375,-17.375,-16.5,-20.5,-21.25,-21.625,-20.125
15,-19.25,-19.75,-17.5,-16.5,-16.625,-15.9375,-21.25,-20.75,-21.5,-20.0
16,-23.25,-21.75,-18.5,-19.5,-19.375,-17.875,-21.75,-20.75,-24.125,-22.375
17,-21.125,-18.625,-18.125,-17.375,-17.75,-16.25,-19.75,-21.0,-20.0,-20.0
18,-20.875,-19.125,-17.0,-16.375,-16.5,-15.0625,-17.375,-20.375,-20.625,-19.375
19,-21.75,-20.125,-20.625,-18.75,-18.5,-17.25,-20.875,-22.5,-23.25,-21.75
20,-22.0,-20.5,-18.0,-18.0,-17.625,-15.6875,-18.5,-23.5,-22.625,-21.25
21,-20.25,-19.375,-16.5,-17.75,-16.875,-15.3125,-17.0,-22.375,-22.625,-18.125
22,-20.25,-19.125,-17.125,-16.0,-16.5,-15.25,-17.5,-22.875,-21.25,-20.25
23,-20.125,-19.625,-18.5,-17.0,-16.625,-15.3125,-19.5,-22.25,-21.0,-19.25
24,-22.375,-20.125,-22.5,-21.625,-24.875,-20.0,-21.5,-24.5,-25.875,-23.125
25,-20.5,-21.75,-16.375,-15.8125,-16.75,-15.1875,-19.75,-20.5,-21.625,-20.5
26,-19.625,-19.5,-16.125,-16.625,-16.5,-16.875,-19.625,-21.25,-23.125,-19.5
27,-20.0,-18.875,-18.375,-16.25,-16.375,-16.0,-18.25,-21.625,-21.5,-18.875
28,-19.25,-20.875,-18.625,-17.25,-16.875,-17.375,-18.875,-22.75,-22.75,-20.5
29,-21.375,-21.5,-19.0,-17.25,-17.125,-16.625,-19.75,-22.5,-23.25,-21.125
30,-21.0,-20.875,-16.625,-16.625,-17.375,-15.1875,-18.625,-21.375,-23.625,-20.125
31,-22.0,-22.625,-17.5,-17.75,-16.375,-17.0,-19.125,-21.875,-23.75,-20.625
32,-22.25,-21.125,-17.75,-17.375,-16.25,-17.0,-20.875,-22.375,-23.125,-20.5
33,-20.25,-19.625,-14.875,-16.25,-17.0,-15.125,-17.0,-20.125,-20.875,-18.375
34,-20.375,-20.375,-15.875,-16.75,-16.375,-15.625,-19.375,-20.375,-22.125,-20.0
35,-20.5,-20.5,-16.125,-16.75,-15.875,-16.5,-20.125,-20.125,-21.0,-20.0
36,-21.125,-19.375,-15.9375,-16.5,-16.125,-16.25,-19.125,-20.375,-22.125,-19.875
37,-20.875,-20.125,-17.125,-17.25,-15.8125,-15.1875,-19.25,-20.375,-20.25,-19.125
38,-20.125,-20.25,-17.75,-17.125,-15.625,-16.25,-19.0,-20.625,-21.875,-19.5
39,-20.25,-20.0,-18.875,-17.625,-16.875,-17.875,-20.625,-21.25,-22.5,-20.0
40,-22.5,-21.875,-18.625,-18.375,-17.375,-18.0,-19.5,-22.75,-22.25,-21.375
41,-23.5,-22.125,-17.75,-18.125,-16.875,-19.0,-20.375,-23.375,-22.25,-21.125
42,-21.0,-17.625,-20.375,-18.75,-17.5,-18.375,-20.875,-24.0,-25.0,-20.5
43,-22.5,-20.875,-18.375,-19.75,-17.0,-17.375,-19.625,-23.0,-22.125,-20.25
44,-21.875,-21.375,-17.375,-18.25,-17.75,-17.25,-19.375,-23.0,-22.875,-21.375
45,-19.875,-19.625,-19.5,-17.75,-17.25,-16.375,-19.875,-21.875,-20.5,-19.625
46,-22.0,-20.625,-16.875,-18.375,-17.5,-17.375,-21.0,-22.125,-22.875,-20.625
47,-23.375,-20.75,-20.25,-20.75,-18.25,-20.0,-20.5,-25.5,-23.25,-21.25
48,-21.0,-19.75,-18.125,-19.125,-16.75,-16.0,-21.125,-22.5,-20.25,-19.375
49,-21.0,-19.75,-18.875,-19.0,-16.875,-17.25,-21.0,-22.875,-22.5,-21.125
50,-22.5,-21.625,-18.0,-20.75,-17.125,-16.25,-21.375,-23.25,-23.25,-21.25
51,-21.875,-20.125,-16.125,-19.25,-15.5625,-17.875,-20.625,-21.125,-23.125,-19.5
52,-21.25,-18.875,-16.625,-18.0,-15.0625,-17.125,-19.625,-21.125,-21.625,-18.375
