,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
0,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
1,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
2,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
3,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
4,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
5,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
6,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
7,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
8,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
9,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
00,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
01,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
02,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
03,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
04,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
05,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
06,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
07,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
08,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
09,-86.0,-87.5,-86.5,-92.5,-88.5,-84.5,-86.5,-88.5,-91.5,-92.5
