,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
0,-7.5,-5.0,-2.0,4.5,1.5,-2.5,4.5,3.5,7.5,0.5
1,5.0,9.5,8.0,14.5,11.0,6.0,11.0,13.5,14.0,12.0
2,9.5,13.0,11.5,15.5,13.5,12.5,14.0,16.5,18.5,15.0
3,4.5,9.0,7.0,13.5,13.0,3.5,10.5,9.5,10.0,9.5
4,-1.0,3.0,3.5,12.0,5.5,-0.5,4.5,8.5,8.5,6.5
5,-2.5,-1.0,-0.5,8.0,6.0,-3.0,7.0,6.0,7.5,5.5
6,-1.5,0.0,3.0,11.0,7.0,-2.5,5.5,8.0,11.0,5.0
7,-8.5,-5.0,-4.5,3.5,-1.0,-7.5,-0.5,0.0,2.0,-1.0
8,-7.5,-0.5,-3.5,4.5,-3.5,-8.0,-3.0,-3.5,0.5,-3.0
9,4.5,13.0,8.0,17.0,14.0,7.5,10.5,14.0,16.0,11.0
00,2.0,4.5,6.5,11.5,9.0,5.5,11.0,11.5,13.5,8.5
01,9.5,12.0,13.5,19.0,15.5,13.0,16.5,18.5,19.0,16.0
02,7.5,10.5,10.5,17.0,14.0,12.5,13.5,17.5,20.0,14.5
03,2.5,5.5,5.0,14.0,11.0,5.0,9.0,10.0,12.0,8.0
04,6.5,8.0,11.0,19.0,14.0,9.0,12.0,16.0,16.0,13.0
05,6.0,8.5,10.5,16.0,14.0,9.0,13.0,15.0,16.5,12.0
06,5.5,8.0,9.0,16.5,13.5,7.5,12.0,15.0,17.0,13.0
07,1.0,4.5,3.5,13.5,9.5,4.0,7.0,10.5,13.0,7.0
08,5.5,10.0,10.0,18.5,13.5,8.5,13.5,12.5,15.5,11.0
09,4.0,8.5,6.0,14.5,12.0,7.5,11.0,12.5,14.5,8.5
10,-0.5,3.0,2.5,10.0,6.5,-1.0,2.5,6.0,7.0,6.0
11,-2.0,1.0,5.0,8.0,5.5,-1.0,3.5,6.5,7.0,5.0
12,3.5,4.0,3.0,9.0,8.0,3.5,7.0,8.5,9.0,10.5
13,-5.5,6.0,-6.5,7.0,5.5,-6.0,1.0,0.0,1.5,5.5
14,7.0,12.0,9.0,16.0,11.5,8.5,12.5,16.5,17.5,13.0
15,6.5,12.0,9.5,19.0,16.5,9.0,14.5,18.0,19.5,16.5
16,5.5,8.0,6.0,14.5,11.5,7.5,13.5,14.5,16.5,14.0
17,4.0,7.5,2.5,13.5,10.5,4.5,7.5,12.5,15.0,11.5
18,6.5,10.5,10.0,17.5,14.0,8.5,12.0,16.0,17.0,12.5
19,8.0,12.0,9.0,15.5,15.0,11.0,12.5,17.0,15.5,12.0
20,-0.5,1.5,2.0,11.0,7.0,4.5,6.5,10.0,8.5,7.5
21,1.5,3.0,1.5,10.0,6.0,4.0,5.0,8.5,7.0,6.0
22,1.5,4.0,3.0,11.0,7.0,6.0,5.5,10.0,10.0,9.0
23,-2.5,-1.0,-3.0,6.5,2.5,0.0,-0.5,3.0,2.5,5.5
24,4.0,5.0,4.5,13.0,9.5,5.0,8.5,11.0,10.0,12.5
25,-0.5,2.5,1.0,10.5,5.0,3.0,4.0,5.5,8.5,8.0
26,3.0,6.5,6.0,13.5,7.5,8.0,8.0,12.5,11.5,11.5
27,2.0,9.0,4.0,13.0,10.5,5.5,8.5,11.0,14.5,12.0
28,12.0,14.0,11.0,19.0,15.0,12.0,13.5,15.5,17.5,16.5
29,1.0,6.5,3.0,10.5,8.5,5.0,5.0,7.5,8.0,7.0
30,-8.0,-6.5,-7.5,2.0,1.0,-4.5,-5.0,-1.5,-1.5,-3.0
31,-4.5,0.0,-2.0,6.0,4.0,-0.5,0.0,2.0,2.0,2.0
32,-2.0,1.0,-1.5,7.5,4.0,4.0,2.0,6.0,2.5,7.0
33,-3.5,0.5,-1.0,8.5,3.5,2.5,2.0,5.0,5.0,4.0
34,1.5,3.5,4.5,11.5,6.5,4.5,5.0,11.5,8.5,6.0
35,-2.5,1.0,0.0,9.0,5.5,0.5,2.0,7.0,6.0,3.5
36,5.0,7.5,5.5,14.0,10.0,6.0,7.5,13.0,12.5,11.0
37,-2.5,1.0,-1.0,8.5,5.0,-0.5,1.0,7.0,6.0,3.0
38,4.0,7.0,7.0,15.5,11.0,7.5,8.0,12.5,11.5,9.5
39,1.5,5.0,3.5,11.5,8.0,5.0,5.5,9.5,9.0,6.5
40,-9.0,-6.5,-4.5,4.5,-2.0,-5.0,-2.5,-0.5,-2.0,-3.0
41,-6.5,-3.0,-1.0,7.0,1.5,-2.0,0.5,3.5,1.5,2.0
42,-3.5,-1.5,-1.5,4.0,1.5,-0.5,0.5,5.5,3.5,3.0
43,-3.0,-0.5,0.0,9.5,4.5,-0.5,2.5,6.0,4.5,4.0
44,4.0,5.5,8.5,16.5,8.5,5.5,8.5,12.0,11.0,10.0
45,1.5,5.0,4.0,12.5,10.0,2.5,6.5,10.5,10.5,9.5
46,3.0,5.0,6.0,14.0,9.0,5.0,6.5,10.5,10.0,9.0
47,-1.0,3.5,1.0,11.5,6.5,0.5,3.0,7.0,8.0,7.0
48,0.5,4.0,3.0,12.0,8.5,2.5,5.0,8.0,10.0,9.0
49,4.5,7.0,6.0,14.0,10.0,4.0,8.5,9.0,10.5,11.0
50,-3.5,-5.0,-2.0,7.0,2.5,-2.0,0.5,2.0,2.0,1.0
51,-7.5,-6.0,-3.5,5.0,0.5,-4.5,-1.0,0.5,1.5,2.0
52,1.5,1.5,4.5,11.5,5.5,2.0,6.5,7.0,8.5,9.5
53,-7.0,-5.5,-3.5,6.0,1.5,-3.5,-0.5,0.5,1.5,1.5
54,0.0,1.5,5.0,12.5,8.0,2.5,5.0,9.5,10.0,8.0
55,1.5,3.0,6.0,15.0,9.5,4.5,7.5,11.0,11.0,9.0
56,8.5,10.0,12.0,20.0,14.5,9.0,13.0,16.0,16.5,15.5
57,0.0,3.0,4.0,13.0,8.5,2.0,4.5,9.0,10.0,8.0
58,4.0,7.0,9.0,16.5,12.0,7.0,8.5,12.0,12.5,11.0
59,0.5,3.5,6.0,12.5,9.5,4.5,6.0,9.5,9.0,7.0
60,-3.0,-3.5,1.0,6.5,5.5,-1.5,1.5,5.5,4.5,3.5
61,-6.5,-5.0,-0.5,5.5,2.5,-2.0,0.5,3.0,2.0,2.5
62,-1.5,-0.5,2.5,10.0,6.0,2.5,4.5,7.5,7.5,6.5
63,-4.5,-3.0,-3.0,6.0,2.5,-4.0,0.5,2.5,3.0,3.0
64,0.0,0.5,2.0,8.0,4.5,0.0,3.0,3.5,5.0,8.5
65,1.5,2.0,5.0,12.5,8.5,3.5,6.0,10.0,9.0,7.0
66,0.5,2.0,4.5,12.5,7.0,2.0,7.0,9.5,11.0,7.0
67,0.5,2.0,3.0,12.0,7.5,2.0,5.0,10.0,9.5,7.0
68,5.5,8.0,9.5,17.0,12.5,6.5,10.5,14.5,13.5,11.0
69,2.0,3.5,5.5,12.5,8.5,4.0,8.5,12.0,12.0,6.5
70,-11.0,-10.0,-7.0,1.5,-3.5,-9.0,-6.5,-2.0,-3.0,-6.5
71,-10.5,-8.5,-4.0,3.5,-2.0,-7.0,-4.0,0.5,-2.0,-3.0
72,-2.5,-2.0,0.0,7.0,4.0,-1.5,1.5,7.0,6.0,3.5
73,-9.0,-6.0,-4.0,4.0,0.5,-6.5,-2.5,2.0,0.0,-1.0
74,-3.5,-2.0,2.0,9.0,4.0,-1.5,1.5,7.0,5.5,2.5
75,-4.0,-2.5,0.5,8.5,4.5,-2.0,0.5,5.5,7.0,4.0
76,3.5,4.5,7.0,15.5,10.0,4.5,7.5,11.5,12.0,8.5
77,-2.5,1.0,1.5,10.0,4.5,0.0,2.5,6.5,9.0,5.0
78,1.5,5.0,6.5,14.5,10.0,3.5,6.5,11.0,12.0,8.5
79,-1.0,2.5,4.0,11.5,7.0,2.0,5.0,9.0,8.0,4.5
80,-4.5,-1.0,1.5,8.0,3.5,-1.5,2.5,3.5,4.0,1.5
81,-2.0,2.5,3.5,9.0,5.5,-0.5,4.5,5.5,8.5,8.0
82,-4.5,-1.0,2.5,8.5,5.0,0.0,3.0,5.5,5.5,3.5
83,-5.0,-1.5,-0.5,8.0,3.5,-2.5,1.0,3.0,3.0,1.5
84,-1.0,1.0,4.5,10.0,6.0,0.5,4.0,7.5,7.5,6.5
85,-4.0,-1.0,2.0,8.5,4.5,-1.0,2.5,5.5,5.0,2.5
86,3.5,6.5,8.5,15.5,11.5,6.0,10.0,12.0,12.0,10.0
87,-1.5,1.5,2.5,10.5,6.0,-0.5,4.0,8.0,8.0,5.5
88,0.5,5.0,6.0,11.5,5.5,3.5,9.0,7.5,9.5,8.0
89,0.5,4.0,5.0,11.5,7.0,3.0,6.5,8.5,8.0,6.0
90,8.0,9.0,10.0,16.0,14.5,9.5,12.0,17.0,15.5,12.0
91,-1.0,1.5,3.0,9.5,6.5,1.5,5.0,7.5,6.5,5.0
92,-3.0,-2.0,0.5,6.5,4.0,0.5,2.5,5.0,3.5,3.0
93,-2.0,1.5,-0.5,9.0,6.0,0.0,3.0,5.5,5.5,3.5
94,-2.5,-0.5,1.5,8.0,5.0,0.5,2.5,7.0,5.5,3.0
95,-3.5,-0.5,0.5,7.5,5.5,0.5,2.5,5.5,6.0,2.0
96,3.0,5.5,6.5,13.5,11.0,7.0,9.5,12.0,13.0,10.5
97,-5.5,-2.0,-3.0,5.0,2.5,-1.5,-0.5,4.5,3.5,0.5
98,1.0,4.5,4.5,10.5,8.0,4.0,6.0,9.5,9.5,6.5
99,1.5,6.5,5.0,11.5,8.0,4.5,7.5,10.0,9.0,7.0
000,-0.5,1.5,3.5,9.5,6.0,1.5,8.0,6.5,10.0,3.0
001,10.5,13.0,14.5,20.0,18.0,13.5,18.0,19.5,20.0,17.5
002,8.0,12.0,11.5,18.0,15.5,13.5,17.0,17.5,21.0,15.5
003,9.0,13.0,12.5,20.0,17.5,12.5,17.0,16.5,19.5,14.5
004,10.0,12.5,14.5,21.0,17.0,13.5,17.0,19.0,19.5,15.5
005,5.0,7.5,9.0,15.0,13.5,8.5,13.5,14.0,15.5,10.5
006,7.5,10.5,12.0,19.5,15.5,10.5,16.0,17.0,20.0,14.5
007,4.0,10.5,10.0,20.5,17.0,12.5,11.0,11.5,15.0,14.5
008,7.5,12.5,12.5,19.0,15.0,11.5,15.5,14.5,18.0,13.0
009,10.5,15.5,13.0,19.5,18.0,15.0,18.5,18.5,20.5,15.5
010,2.5,5.0,6.0,10.5,9.5,6.0,9.0,10.0,12.5,8.0
011,1.5,4.5,7.0,10.0,7.5,3.0,7.0,8.5,11.5,8.0
012,6.0,8.5,9.0,15.0,12.5,9.0,12.0,14.5,16.0,12.5
013,3.0,6.5,4.5,13.0,10.0,5.5,9.5,11.0,12.5,8.5
014,5.0,7.5,8.5,14.0,10.5,8.5,11.0,14.5,14.5,10.5
015,1.5,4.0,4.0,10.5,9.0,4.5,7.5,10.5,12.0,7.0
016,5.0,7.5,7.0,14.5,11.0,8.0,11.5,14.5,15.5,11.0
017,-1.0,2.5,0.5,9.0,6.0,2.0,4.0,9.0,10.0,4.5
018,6.0,10.0,10.5,16.5,14.5,10.0,13.5,16.0,17.0,11.5
019,8.5,11.5,12.0,17.5,16.5,13.0,16.0,18.5,19.0,13.5
020,4.5,7.0,8.5,15.0,12.5,10.0,13.0,15.5,15.5,11.0
021,1.5,4.0,5.0,11.5,9.0,7.0,9.5,12.0,12.5,9.0
022,2.5,5.5,6.0,12.5,9.5,7.5,10.5,12.5,13.5,10.0
023,5.0,8.0,8.5,15.5,13.0,9.5,12.5,14.5,15.5,12.0
024,1.5,4.0,5.5,12.0,9.0,6.0,9.0,12.0,12.5,9.5
025,-0.5,2.5,2.0,9.0,7.0,4.0,6.0,8.0,10.5,7.0
026,7.5,10.0,10.0,17.5,14.0,12.0,14.0,16.5,18.5,14.5
027,3.5,7.0,6.0,13.5,11.0,7.5,9.5,13.0,15.5,10.5
028,0.5,5.0,5.0,11.5,8.5,5.5,8.0,9.5,11.5,7.5
029,6.0,9.5,9.0,14.5,12.5,10.5,12.5,14.5,16.0,11.0
030,0.0,4.0,4.0,11.0,8.5,3.0,7.5,8.5,10.0,5.5
031,0.0,4.0,4.0,11.5,8.5,3.5,6.5,8.5,10.0,6.0
032,0.0,3.5,3.0,11.0,8.0,3.0,6.5,8.5,10.0,6.0
033,-1.0,3.0,2.5,10.5,7.0,2.5,5.5,7.0,9.5,4.5
034,2.5,5.5,6.0,13.5,10.0,5.5,8.5,11.5,12.0,7.5
035,10.0,14.0,12.5,19.0,16.5,12.5,15.0,16.0,20.0,16.5
036,4.0,6.5,6.5,14.0,10.5,7.0,9.5,11.5,14.5,10.5
037,0.5,3.5,3.0,11.0,8.0,4.5,6.5,9.5,11.5,6.0
038,-0.5,3.0,3.5,10.5,7.0,4.0,5.5,8.0,10.0,5.0
039,4.5,7.5,7.0,13.5,11.0,8.5,10.0,12.0,13.0,9.5
040,7.5,9.0,12.0,18.5,14.0,11.0,13.0,17.5,16.5,13.0
041,7.0,8.5,11.5,17.5,13.5,11.0,12.5,16.5,16.5,13.0
042,6.5,8.0,10.0,15.5,12.0,10.5,12.0,15.5,16.5,13.5
043,6.5,8.0,10.0,16.5,13.0,9.5,11.5,15.0,16.0,12.0
044,10.0,11.0,14.0,20.5,15.5,13.0,15.0,19.0,19.0,15.5
045,4.0,5.5,7.5,13.5,10.5,7.0,9.0,12.5,13.0,10.0
046,12.5,13.0,15.5,21.5,17.5,15.5,17.5,20.0,22.5,18.5
047,11.0,13.0,13.0,19.5,16.5,14.0,15.5,18.5,21.5,17.5
048,7.0,9.0,10.5,17.5,14.0,10.0,12.0,14.5,16.0,13.0
049,17.5,19.0,19.5,26.5,22.0,19.0,22.75,24.0,26.5,23.0
050,4.5,5.5,8.0,14.5,12.0,7.0,11.5,12.5,14.0,9.5
051,4.0,6.0,8.0,14.0,12.0,7.5,11.0,12.0,14.0,11.0
052,4.0,5.5,7.0,13.5,11.5,7.5,11.0,12.0,14.0,11.5
053,8.0,10.0,11.5,17.5,15.5,11.5,14.5,15.0,18.0,15.0
054,5.0,6.0,8.5,15.0,12.5,8.0,11.0,13.0,14.5,10.5
055,6.0,8.0,10.5,16.0,13.5,9.5,13.0,14.0,16.5,12.5
056,8.5,10.5,13.5,19.0,16.0,12.0,15.5,16.5,19.5,16.0
057,5.0,7.0,9.0,15.5,13.0,8.5,11.5,14.0,16.5,12.5
058,7.0,9.0,11.5,17.0,14.0,10.5,13.5,14.5,17.0,13.5
059,7.5,9.5,11.5,17.0,15.0,11.0,14.0,15.0,17.0,13.5
060,2.5,4.5,7.0,13.5,10.5,6.0,10.0,13.0,14.5,9.5
061,4.0,6.0,9.0,15.0,11.5,8.0,11.0,14.0,15.5,11.5
062,3.5,5.0,7.5,14.0,11.5,7.0,10.5,13.0,15.0,10.5
063,5.0,7.0,8.5,15.5,12.5,8.0,11.5,14.0,16.0,12.0
064,8.0,9.0,12.0,18.0,15.0,10.5,13.5,17.0,18.5,14.5
065,3.5,5.5,7.5,14.0,11.5,6.5,10.0,13.0,14.5,10.0
066,5.0,7.0,9.0,15.5,12.0,7.5,12.0,14.0,16.0,11.0
067,7.5,10.0,11.5,18.0,14.5,11.0,14.0,17.0,19.0,13.5
068,8.5,10.5,13.0,18.5,15.0,11.5,14.5,17.0,18.5,14.0
069,7.0,8.5,11.5,17.0,14.0,9.5,13.5,16.5,17.0,12.5
070,0.0,3.0,4.0,11.5,7.5,3.0,6.0,10.0,11.0,5.0
071,2.5,5.5,7.0,14.0,10.5,6.5,9.0,12.5,14.0,8.5
072,3.5,6.5,7.0,14.5,11.5,7.5,10.0,13.5,15.5,9.5
073,4.0,7.5,7.0,15.0,12.0,7.0,10.0,13.0,14.5,9.5
074,2.0,4.5,6.5,13.0,9.5,5.5,7.5,12.0,13.0,7.0
075,-2.5,1.0,1.5,9.5,6.5,1.0,3.5,7.5,9.5,4.0
076,9.0,11.0,12.0,19.5,14.5,11.5,14.0,17.0,19.5,14.5
077,3.0,7.0,7.5,14.5,10.5,7.0,9.5,12.5,15.0,9.5
078,5.5,9.0,10.5,17.0,13.5,9.5,12.0,15.0,17.5,11.5
079,8.5,12.0,11.5,17.5,14.5,12.5,14.0,16.5,18.5,12.5
080,2.5,6.5,8.5,14.5,10.5,6.5,11.5,11.5,13.5,8.0
081,6.0,10.0,12.5,18.0,14.5,10.0,14.0,15.0,16.5,12.5
082,7.0,10.5,12.0,18.0,14.5,11.0,14.0,15.5,18.0,13.0
083,2.5,6.5,7.0,14.0,10.5,6.0,9.5,10.5,13.0,8.0
084,5.0,8.0,10.5,16.0,12.5,8.5,12.0,14.0,15.5,10.5
085,6.5,9.5,12.0,17.0,14.5,10.5,14.0,15.5,17.0,13.0
086,8.0,11.0,12.5,18.5,14.5,12.0,15.5,16.0,18.0,13.5
087,6.5,10.0,11.0,17.5,14.0,9.5,12.5,15.0,17.5,12.5
088,3.5,7.5,8.5,14.5,10.5,7.0,11.5,11.5,14.0,9.0
089,6.5,9.5,11.0,17.0,13.5,10.0,13.5,14.5,16.0,11.0
090,3.0,5.0,5.5,12.0,10.0,6.0,10.0,11.5,13.0,6.5
091,4.5,8.0,8.0,14.5,12.5,8.5,12.0,13.5,14.5,9.5
092,4.5,7.0,7.0,14.0,12.0,8.5,11.5,13.0,14.5,9.0
093,2.5,6.5,5.0,12.5,10.5,6.5,9.5,10.5,12.5,6.5
094,5.0,7.0,8.0,14.5,12.0,8.5,11.0,13.5,14.0,9.0
095,8.0,11.0,11.0,17.0,15.5,11.5,14.0,16.0,17.0,13.5
096,10.0,12.5,11.0,17.0,14.0,10.5,13.0,14.5,17.5,13.5
097,5.5,9.0,8.0,15.5,13.0,9.5,11.0,14.0,15.5,10.5
098,5.0,8.5,8.5,15.0,12.5,9.0,12.0,14.0,14.5,9.5
099,8.5,11.0,10.0,16.5,15.0,11.5,14.5,16.5,17.5,14.0
100,-1.5,-1.0,-0.5,5.0,1.5,-2.5,3.5,4.5,4.5,3.5
101,3.0,3.0,4.0,8.5,5.5,3.0,6.5,6.0,7.5,7.5
102,-3.5,-2.0,0.0,5.5,4.5,-0.5,3.0,5.5,6.0,4.0
103,-3.5,-1.5,0.0,6.5,4.0,-1.5,2.5,4.0,4.0,2.5
104,0.5,1.0,5.0,9.5,6.5,1.5,5.0,8.0,7.5,6.5
105,-2.0,-1.0,0.5,6.5,5.0,-0.5,3.0,6.0,6.5,4.5
106,-0.5,0.0,3.0,9.0,5.5,0.5,4.0,7.5,7.5,4.5
107,-0.5,0.5,2.5,10.0,6.5,1.5,4.0,8.0,8.5,5.0
108,2.5,5.5,8.0,10.0,11.5,4.0,8.5,8.5,11.5,10.5
109,2.0,4.0,5.5,10.5,8.5,4.0,7.5,9.5,9.0,6.5
110,-3.5,-2.5,3.5,6.0,3.0,-2.0,3.5,5.0,5.5,2.0
111,1.0,4.0,6.5,11.5,7.5,3.5,8.0,8.0,13.0,8.0
112,6.0,6.0,9.0,14.5,9.5,6.5,11.0,10.5,11.5,12.0
113,0.0,2.0,4.0,9.5,6.0,1.0,6.0,6.5,7.0,6.5
114,5.0,7.0,10.0,14.5,11.0,6.5,11.5,13.5,13.5,11.5
115,1.0,2.5,6.5,11.5,8.0,3.5,7.5,9.5,9.5,8.0
116,5.0,6.0,9.5,15.5,10.5,6.0,10.5,13.0,13.0,10.5
117,4.5,7.0,7.5,14.0,10.5,5.5,10.0,12.5,13.5,11.5
118,5.0,5.0,11.0,14.0,10.5,8.0,10.0,12.0,11.5,11.0
119,4.5,6.5,9.0,13.5,11.0,6.0,11.5,12.5,12.5,10.0
120,2.0,1.0,3.0,8.0,7.5,2.5,6.0,9.0,8.0,8.0
121,-2.5,-1.5,2.5,4.5,1.5,-1.0,3.0,4.0,4.5,7.0
122,3.5,4.5,5.5,12.5,10.0,6.5,9.5,11.5,11.0,10.5
123,2.0,4.0,2.0,11.0,7.5,2.5,6.5,7.5,8.0,8.0
124,4.0,3.5,5.0,12.0,8.5,5.0,7.5,10.0,9.0,9.0
125,4.5,3.5,6.0,11.5,7.5,8.0,8.5,8.5,10.0,12.5
126,3.0,3.0,3.5,10.0,8.0,3.0,7.0,9.5,10.5,10.0
127,3.5,4.5,3.5,10.0,7.5,5.0,7.0,8.5,9.0,9.5
128,13.0,13.5,12.5,18.0,16.5,13.5,16.5,15.5,18.0,19.0
129,1.5,4.0,3.0,9.5,7.0,3.5,7.0,8.0,7.5,7.5
130,-3.5,-2.0,-4.0,5.5,1.0,-2.5,0.5,2.5,2.5,1.0
131,-3.5,0.0,-2.0,6.5,3.0,-1.5,2.5,4.0,3.0,3.0
132,3.0,5.5,3.5,12.5,9.0,4.5,8.0,10.0,10.5,9.0
133,0.0,3.5,0.5,10.0,5.5,1.5,5.5,6.5,6.5,5.5
134,-2.0,1.0,-0.5,8.0,3.5,0.0,3.0,6.0,5.5,3.0
135,3.0,6.0,3.5,12.0,9.5,4.0,7.5,10.5,11.5,9.5
136,3.5,4.5,4.0,12.5,8.0,5.0,7.0,10.5,11.0,8.5
137,5.0,7.5,6.5,13.0,9.5,5.5,8.0,12.0,12.0,11.0
138,3.0,6.5,5.5,13.0,9.0,5.0,8.5,11.5,11.5,9.0
139,1.0,4.0,2.5,10.0,6.5,2.5,6.0,9.0,7.5,5.5
140,6.5,7.0,8.0,13.5,9.5,6.5,11.0,14.0,13.5,11.0
141,5.5,8.5,9.0,14.0,11.0,7.5,11.5,14.0,13.5,12.0
142,2.0,4.5,5.5,11.5,8.0,5.0,8.5,11.5,10.5,8.0
143,6.5,8.5,8.5,14.5,9.5,8.5,11.0,12.0,13.5,10.0
144,3.5,3.5,4.0,8.0,6.5,1.5,6.5,9.5,10.0,11.0
145,1.5,3.5,5.0,11.0,7.5,4.0,7.0,10.5,9.5,7.5
