,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
0,-4.0,-7.0,-10.5,-7.5,-3.5,-11.0,-10.5,-6.5,-8.5,-8.5
1,0.0,-3.5,-6.5,-3.0,0.5,-7.5,-7.0,-2.0,-4.5,-4.5
2,-0.5,-4.5,-7.0,-4.0,-0.5,-8.0,-7.0,-2.5,-4.0,-4.5
3,-1.0,-4.5,-6.0,-4.5,0.0,-7.5,-8.0,-2.0,-3.5,-5.0
4,2.5,-3.0,-6.5,-5.0,-2.0,-8.0,-8.5,-2.5,-4.5,-5.0
5,0.5,-3.0,-5.5,-3.5,0.5,-6.5,-6.5,-1.0,-3.5,-2.5
6,0.0,-2.5,-5.0,-4.0,1.0,-7.0,-5.0,-0.5,-3.0,-3.5
7,-0.5,-3.5,-6.5,-4.0,2.0,-6.5,-7.5,-0.5,-3.0,-4.0
8,-1.0,-3.0,-6.0,-4.0,0.5,-7.5,-6.5,-2.5,-4.0,-4.0
9,-1.0,-2.0,-6.5,-4.5,0.0,-7.5,-6.5,-1.0,-4.5,-4.5
00,-10.0,-12.5,-16.0,-13.5,-9.5,-17.0,-14.5,-9.0,-15.0,-12.5
01,-11.25,-13.75,-17.25,-14.25,-10.25,-17.75,-16.25,-9.25,-15.75,-13.25
02,-11.5,-14.0,-17.5,-15.0,-11.0,-18.0,-17.0,-10.0,-16.0,-13.5
03,-11.5,-13.0,-17.0,-15.0,-10.0,-17.5,-16.0,-9.5,-15.5,-13.0
04,-10.5,-13.0,-17.5,-15.5,-11.0,-18.0,-17.0,-10.0,-16.0,-13.5
05,-12.5,-14.0,-17.5,-16.0,-11.0,-18.5,-17.0,-10.5,-16.5,-13.0
06,-11.5,-12.5,-17.0,-15.0,-10.0,-18.0,-16.0,-9.5,-15.5,-13.0
07,-12.5,-14.0,-18.0,-15.5,-10.5,-18.0,-17.5,-9.5,-15.5,-14.0
08,-12.0,-13.5,-17.5,-15.0,-11.0,-18.0,-16.5,-10.0,-16.0,-13.0
09,-11.0,-12.0,-17.0,-15.0,-10.5,-17.5,-16.0,-9.5,-16.0,-13.0
