,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
0,-93.5,-92.5,-88.5,-88.0,-87.0,-87.0,-82.0,-85.0,-84.0,-92.0
1,-81.0,-78.0,-78.5,-78.0,-77.5,-78.5,-75.5,-75.0,-77.5,-80.5
2,-76.5,-74.5,-75.0,-77.0,-75.0,-72.0,-72.5,-72.0,-73.0,-77.5
3,-81.5,-78.5,-79.5,-79.0,-75.5,-81.0,-76.0,-79.0,-81.5,-83.0
4,-87.0,-84.5,-83.0,-80.5,-83.0,-85.0,-82.0,-80.0,-83.0,-86.0
5,-88.5,-88.5,-87.0,-84.5,-82.5,-87.5,-79.5,-82.5,-84.0,-87.0
6,-87.5,-87.5,-83.5,-81.5,-81.5,-87.0,-81.0,-80.5,-80.5,-87.5
7,-94.5,-92.5,-91.0,-89.0,-89.5,-92.0,-87.0,-88.5,-89.5,-93.5
8,-93.5,-88.0,-90.0,-88.0,-92.0,-92.5,-89.5,-92.0,-91.0,-95.5
9,-81.5,-74.5,-78.5,-75.5,-74.5,-77.0,-76.0,-74.5,-75.5,-81.5
00,-84.0,-83.0,-80.0,-81.0,-79.5,-79.0,-75.5,-77.0,-78.0,-84.0
01,-76.5,-75.5,-73.0,-73.5,-73.0,-71.5,-70.0,-70.0,-72.5,-76.5
02,-78.5,-77.0,-76.0,-75.5,-74.5,-72.0,-73.0,-71.0,-71.5,-78.0
03,-83.5,-82.0,-81.5,-78.5,-77.5,-79.5,-77.5,-78.5,-79.5,-84.5
04,-79.5,-79.5,-75.5,-73.5,-74.5,-75.5,-74.5,-72.5,-75.5,-79.5
05,-80.0,-79.0,-76.0,-76.5,-74.5,-75.5,-73.5,-73.5,-75.0,-80.5
06,-80.5,-79.5,-77.5,-76.0,-75.0,-77.0,-74.5,-73.5,-74.5,-79.5
07,-85.0,-83.0,-83.0,-79.0,-79.0,-80.5,-79.5,-78.0,-78.5,-85.5
08,-80.5,-77.5,-76.5,-74.0,-75.0,-76.0,-73.0,-76.0,-76.0,-81.5
