,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
0,0.333984375,0.69921875,-0.47265625,0.2890625,0.058349609375,-0.421875,-0.2353515625,-0.0498046875,-0.392578125,-0.5078125
1,0.287109375,0.73828125,-0.578125,0.2890625,0.033447265625,-0.5,-0.328125,-0.138671875,-0.4765625,-0.62109375
2,0.330078125,0.75390625,-0.53125,0.294921875,0.052001953125,-0.4609375,-0.26953125,-0.078125,-0.412109375,-0.5703125
3,0.296875,0.71875,-0.45703125,0.287109375,0.08447265625,-0.4140625,-0.228515625,-0.060546875,-0.353515625,-0.5078125
4,0.3359375,0.71484375,-0.3984375,0.287109375,0.080078125,-0.384765625,-0.1865234375,-0.0205078125,-0.31640625,-0.470703125
5,0.306640625,0.6796875,-0.390625,0.302734375,0.11962890625,-0.369140625,-0.19140625,-0.0244140625,-0.302734375,-0.453125
6,0.314453125,0.68359375,-0.34375,0.31640625,0.09912109375,-0.337890625,-0.1767578125,0.001953125,-0.30078125,-0.40625
7,0.2890625,0.6640625,-0.34375,0.3203125,0.1435546875,-0.3203125,-0.2197265625,0.0,-0.267578125,-0.412109375
8,0.34375,0.67578125,-0.333984375,0.296875,0.11376953125,-0.333984375,-0.16796875,0.01953125,-0.28515625,-0.396484375
9,0.33984375,0.6484375,-0.34765625,0.3046875,0.130859375,-0.291015625,-0.1650390625,-0.0048828125,-0.30078125,-0.388671875
00,0.333984375,0.69921875,-0.47265625,0.2890625,0.058349609375,-0.421875,-0.2353515625,-0.0498046875,-0.392578125,-0.5078125
01,0.310546875,0.71875,-0.5234375,0.2890625,0.0458984375,-0.4609375,-0.28125,-0.09423828125,-0.43359375,-0.5625
02,0.33203125,0.7265625,-0.5,0.29296875,0.05517578125,-0.44140625,-0.251953125,-0.064453125,-0.40234375,-0.5390625
03,0.31640625,0.7109375,-0.46484375,0.2890625,0.0712890625,-0.41796875,-0.232421875,-0.05517578125,-0.373046875,-0.5078125
04,0.3359375,0.70703125,-0.435546875,0.2890625,0.0693359375,-0.40234375,-0.2109375,-0.03515625,-0.35546875,-0.48828125
05,0.3203125,0.6875,-0.431640625,0.296875,0.0888671875,-0.39453125,-0.212890625,-0.037109375,-0.34765625,-0.48046875
06,0.32421875,0.69140625,-0.408203125,0.302734375,0.07861328125,-0.37890625,-0.2060546875,-0.0244140625,-0.34765625,-0.45703125
07,0.3125,0.6796875,-0.408203125,0.3046875,0.10107421875,-0.37109375,-0.2275390625,-0.02490234375,-0.330078125,-0.4609375
08,0.33984375,0.6875,-0.40234375,0.29296875,0.0859375,-0.37890625,-0.201171875,-0.01513671875,-0.33984375,-0.453125
09,0.3359375,0.671875,-0.41015625,0.296875,0.0947265625,-0.35546875,-0.2001953125,-0.02685546875,-0.34765625,-0.44921875
10,0.310546875,0.71875,-0.5234375,0.2890625,0.0458984375,-0.4609375,-0.28125,-0.09423828125,-0.43359375,-0.5625
11,0.287109375,0.73828125,-0.578125,0.2890625,0.033447265625,-0.5,-0.328125,-0.138671875,-0.4765625,-0.62109375
12,0.30859375,0.74609375,-0.5546875,0.29296875,0.042724609375,-0.48046875,-0.298828125,-0.10888671875,-0.4453125,-0.59375
13,0.29296875,0.7265625,-0.515625,0.2890625,0.05908203125,-0.45703125,-0.27734375,-0.099609375,-0.4140625,-0.5625
14,0.3125,0.7265625,-0.48828125,0.2890625,0.056640625,-0.44140625,-0.2578125,-0.07958984375,-0.396484375,-0.546875
15,0.296875,0.7109375,-0.484375,0.296875,0.07666015625,-0.43359375,-0.259765625,-0.08154296875,-0.390625,-0.5390625
16,0.30078125,0.7109375,-0.4609375,0.302734375,0.06640625,-0.41796875,-0.251953125,-0.06884765625,-0.388671875,-0.515625
17,0.2890625,0.703125,-0.4609375,0.3046875,0.08837890625,-0.41015625,-0.2734375,-0.0693359375,-0.37109375,-0.515625
18,0.31640625,0.70703125,-0.45703125,0.29296875,0.07373046875,-0.41796875,-0.248046875,-0.0595703125,-0.380859375,-0.5078125
19,0.3125,0.6953125,-0.462890625,0.296875,0.08203125,-0.39453125,-0.24609375,-0.0712890625,-0.388671875,-0.50390625
20,0.33203125,0.7265625,-0.5,0.29296875,0.05517578125,-0.44140625,-0.251953125,-0.064453125,-0.40234375,-0.5390625
